,OPENNESS,Adventurousness,Artistic interests,Emotionality,Imagination,Intellect,Authority-challenging,,,,,,
Hillary Clinton,78.74,55.15,39.83,42.88,10.01,95.99,45.3,,,,,,
Donald Trump,85.43,80.84,59.67,56.13,4.57,84.17,37.98,,,,,,
,CONSCIENTIOUSNESS,Achievement striving,Cautiousness,Dutifulness,Orderliness,Self-discipline,Self-efficacy,,,,,,
Hillary Clinton,79.63,88.6,84.67,89.91,47.36,91.54,97.53,,,,,,
Donald Trump,98.5,96.87,93.68,98.11,70.89,97.9,92.47,,,,,,
,EXTRAVERSION,Activity level,Assertiveness,Cheerfulness,Excitement-seeking,Outgoing,Gregariousness,,,,,,
Hillary Clinton,85.55,58.78,99.54,47.95,13.96,81.61,36.16,,,,,,
Donald Trump,97.74,81.38,97.94,78.98,4.82,98.33,75.03,,,,,,
,AGREEABLENESS,Altruism,Cooperation,Modesty,Uncompromising,Sympathy,Trust,,,,,,
Hillary Clinton,51.76,97.84,43.42,22.13,88.12,99.73,32.24,,,,,,
Donald Trump,98.51,96.74,79.46,66.02,96.72,99.63,71.92,,,,,,
,EMOTIONAL RANGE,Fiery,Prone to worry,Melancholy,Immoderation,Self-consciousness,Susceptible to stress,,,,,,
Hillary Clinton,95.01,10.55,7,6.92,16.8,5.58,1.74,,,,,,
Donald Trump,95.88,8.4,7.13,1.75,8.42,0.39,1.59,,,,,,
,CONSUMER NEEDS,Challenge,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure
Hillary Clinton,,9.61,10.09,10.94,8.05,6,13.81,4.48,3.63,11.79,5.4,46.94,62.07
Donald Trump,,8.38,42.27,6.21,1.72,19.84,6.43,2.3,3.71,2.54,12.1,51.49,48.53
,VALUES,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence,,,,,,,
Hillary Clinton,,34.6,4.33,12.18,0.96,7.03,,,,,,,
Donald Trump,,49.51,10.65,9.9,1.16,8.81,,,,,,,
