OPENNESS,,Adventurousness,"Artistic interests",Emotionality,Imagination,Intellect,Authority-challenging
85.43,,80.84,59.67,56.13,4.57,84.17,37.98

CONSCIENTIOUSNESS,,"Achievement striving",Cautiousness,Dutifulness,Orderliness,Self-discipline,Self-efficacy
98.50,,96.87,93.68,98.11,70.89,97.90,92.47

EXTRAVERSION,,"Activity level",Assertiveness,Cheerfulness,Excitement-seeking,Outgoing,Gregariousness
97.74,,81.38,97.94,78.98,4.82,98.33,75.03

AGREEABLENESS,,Altruism,Cooperation,Modesty,Uncompromising,Sympathy,Trust
98.51,,96.74,79.46,66.02,96.72,99.63,71.92

"EMOTIONAL RANGE",,Fiery,"Prone to worry",Melancholy,Immoderation,Self-consciousness,"Susceptible to stress"
95.88,,8.40,7.13,1.75,8.42,0.39,1.59

"CONSUMER NEEDS",,Challenge,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure
,,8.38,42.27,6.21,1.72,19.84,6.43,2.30,3.71,2.54,12.10,51.49,48.53

VALUES,,Conservation,"Openness to change",Hedonism,Self-enhancement,Self-transcendence
,,49.51,10.65,9.90,1.16,8.81
